Session_ID,Start_Time,Dropout_Time_Minutes,Dropout_Occurred,Error_Type,Recovery_Attempted,Recovery_Successful
1,2025-08-11T01:26:30.656573,16.2,True,Bluetooth connection timeout,False,False
2,2025-08-11T01:26:30.656599,4.1,True,Data buffer overflow,True,False
3,2025-08-11T01:26:30.656610,8.1,True,Bluetooth connection timeout,False,True
4,2025-08-11T01:26:30.656618,5.4,True,Battery level critical,False,True
5,2025-08-11T01:26:30.656626,4.7,True,GSR sensor communication lost,False,False
6,2025-08-11T01:26:30.656634,9.0,True,GSR sensor communication lost,False,False
7,2025-08-11T01:26:30.656641,5.3,True,Battery level critical,False,False
8,2025-08-11T01:26:30.656647,11.0,True,Interference detected,False,False
9,2025-08-11T01:26:30.656652,6.9,True,GSR sensor communication lost,True,True
10,2025-08-11T01:26:30.656655,9.3,True,Device moved out of range,False,False
11,2025-08-11T01:26:30.656659,9.7,True,Firmware communication error,True,False
12,2025-08-11T01:26:30.656662,10.7,True,Firmware communication error,False,False
