Session,Measurement_Index,Drift_ms,Timestamp
1,1,2.132,2025-08-11T01:29:08.268248
1,2,2.141,2025-08-11T01:29:38.268266
1,3,2.151,2025-08-11T01:30:08.268273
1,4,2.286,2025-08-11T01:30:38.268277
1,5,2.296,2025-08-11T01:31:08.268281
1,6,2.305,2025-08-11T01:31:38.268285
1,7,2.312,2025-08-11T01:32:08.268289
1,8,2.321,2025-08-11T01:32:38.268292
1,9,2.328,2025-08-11T01:33:08.268296
1,10,2.331,2025-08-11T01:33:38.268311
1,11,2.338,2025-08-11T01:34:08.268316
1,12,2.347,2025-08-11T01:34:38.268320
1,13,2.45,2025-08-11T01:35:08.268324
1,14,2.459,2025-08-11T01:35:38.268328
1,15,2.466,2025-08-11T01:36:08.268331
1,16,2.469,2025-08-11T01:36:38.268334
2,1,2.476,2025-08-11T01:29:08.268338
2,2,2.485,2025-08-11T01:29:38.268341
2,3,2.492,2025-08-11T01:30:08.268344
2,4,2.501,2025-08-11T01:30:38.268346
2,5,2.508,2025-08-11T01:31:08.268349
2,6,2.511,2025-08-11T01:31:38.268352
2,7,2.518,2025-08-11T01:32:08.268355
2,8,2.527,2025-08-11T01:32:38.268357
2,9,2.534,2025-08-11T01:33:08.268361
2,10,2.543,2025-08-11T01:33:38.268363
2,11,2.553,2025-08-11T01:34:08.268366
2,12,2.614,2025-08-11T01:34:38.268369
2,13,2.623,2025-08-11T01:35:08.268372
2,14,2.63,2025-08-11T01:35:38.268375
2,15,2.633,2025-08-11T01:36:08.268378
2,16,2.639,2025-08-11T01:36:38.268381
3,1,2.646,2025-08-11T01:29:08.268384
3,2,2.649,2025-08-11T01:29:38.268387
3,3,2.656,2025-08-11T01:30:08.268390
3,4,2.665,2025-08-11T01:30:38.268392
3,5,2.672,2025-08-11T01:31:08.268395
3,6,2.681,2025-08-11T01:31:38.268398
3,7,2.688,2025-08-11T01:32:08.268401
3,8,2.691,2025-08-11T01:32:38.268403
3,9,2.698,2025-08-11T01:33:08.268407
3,10,2.707,2025-08-11T01:33:38.268410
3,11,2.714,2025-08-11T01:34:08.268412
3,12,2.724,2025-08-11T01:34:38.268415
3,13,2.73,2025-08-11T01:35:08.268418
3,14,2.733,2025-08-11T01:35:38.268421
3,15,2.74,2025-08-11T01:36:08.268455
3,16,2.749,2025-08-11T01:36:38.268459
4,1,2.768,2025-08-11T01:29:08.268462
4,2,2.777,2025-08-11T01:29:38.268465
4,3,2.787,2025-08-11T01:30:08.268468
4,4,2.794,2025-08-11T01:30:38.268471
4,5,2.803,2025-08-11T01:31:08.268474
4,6,2.81,2025-08-11T01:31:38.268477
4,7,2.813,2025-08-11T01:32:08.268480
4,8,2.819,2025-08-11T01:32:38.268483
4,9,2.826,2025-08-11T01:33:08.268485
4,10,2.829,2025-08-11T01:33:38.268488
4,11,2.836,2025-08-11T01:34:08.268491
4,12,2.845,2025-08-11T01:34:38.268497
4,13,2.852,2025-08-11T01:35:08.268500
4,14,2.862,2025-08-11T01:35:38.268502
4,15,2.868,2025-08-11T01:36:08.268505
4,16,2.871,2025-08-11T01:36:38.268508
5,1,2.878,2025-08-11T01:29:08.268512
5,2,2.887,2025-08-11T01:29:38.268515
5,3,2.894,2025-08-11T01:30:08.268518
5,4,2.904,2025-08-11T01:30:38.268521
5,5,2.91,2025-08-11T01:31:08.268523
